#,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
211,SEALIP/SL/TSS/3,Kingdom of Ruhuna,AD 0 - 200,Tissamaharama,81.291421,6.279804,,Southern Sri Lanka,Sri Lanka,copper-base vessel,nd,nd,2.6000,nd,nd,0.0051,nd,nd,nd,nd,nd,0.0045,nd,0.0022,nd,nd,nd,72.0000,0.0844,0.0158,0.1648,nd,nd,0.0006,0.0004,0.0172,nd,nd,nd,0.2900,nd,,,
212,SEALIP/SL/TSS/4,Kingdom of Ruhuna,AD 200 - 300,Tissamaharama,81.291421,6.279804,,Southern Sri Lanka,Sri Lanka,copper-base vessel,nd,nd,2.7000,nd,nd,0.0028,nd,nd,nd,nd,nd,0.0061,nd,0.0033,nd,nd,nd,62.0000,0.1212,0.0199,0.2819,nd,nd,0.0046,0.0008,0.4990,nd,nd,nd,1.4400,nd,,,
213,SEALIP/SL/TSS/5,Kingdom of Ruhuna,AD 0 - 100,Tissamaharama,81.291421,6.279804,,Southern Sri Lanka,Sri Lanka,copper-base vessel,nd,0.0002,2.9000,nd,nd,0.0840,nd,nd,nd,nd,0.0008,0.0080,nd,0.0032,nd,nd,nd,65.0000,0.0309,0.0081,0.0836,nd,nd,0.0021,0.0021,0.1203,nd,nd,nd,0.7590,nd,,,
214,SEALIP/TH/BC/1,Early Bronze Age,1100-900 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base socketed spearhead with bent tip,nd,0.0188,9.6650,nd,nd,0.0059,nd,nd,nd,nd,nd,0.0712,nd,0.0624,nd,nd,nd,89.9238,0.0280,nd,0.1420,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
215,SEALIP/TH/BC/2,Early Bronze Age,1100-800 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,nd,0.0191,11.1903,nd,nd,0.0696,nd,nd,nd,nd,0.0288,0.0236,0.0138,0.1067,nd,nd,nd,88.5318,0.0323,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
216,SEALIP/TH/BC/3,Early Bronze Age,1100-800 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,nd,0.0466,15.2496,nd,nd,0.1058,nd,nd,nd,nd,0.0480,0.0530,0.0209,0.1092,nd,nd,nd,84.3429,0.0159,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal and corrosion,
217,SEALIP/TH/BC/4,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,nd,0.0135,11.8710,nd,nd,0.0072,nd,nd,nd,nd,nd,0.1163,nd,0.0412,nd,nd,nd,87.8937,0.0241,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal and corrosion,
218,SEALIP/TH/BC/5,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base tanged arrow head,nd,0.0451,6.6165,nd,nd,0.1831,nd,nd,nd,nd,0.4065,0.0774,0.0133,1.7963,nd,nd,nd,91.2242,0.0363,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal and corrosion,
219,SEALIP/TH/BC/6,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base deep D-section undecorated bracelet,nd,0.0259,15.3987,nd,nd,0.0310,nd,nd,nd,nd,nd,0.1868,0.0131,0.2115,nd,nd,nd,83.9947,0.0371,nd,0.0600,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Corrosion,
220,SEALIP/TH/BC/7,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base dual phase fragment,nd,0.0120,9.6773,nd,nd,0.0096,nd,nd,nd,nd,0.0181,3.5057,nd,nd,nd,nd,nd,86.6957,0.0200,nd,0.0797,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
221,SEALIP/TH/BC/8,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base dual phase fragment,nd,0.0037,4.3010,nd,nd,nd,nd,nd,nd,nd,nd,1.2877,nd,nd,0.0510,nd,nd,94.1257,nd,nd,0.1403,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,WAS LABELLED BC/7 IN PREVIOUS
222,SEALIP/TH/BC/9,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base T-section undecorated bracelet,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
223,SEALIP/TH/BC/10,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section decorated (slashes) bracelet,nd,0.0584,8.4101,nd,nd,0.0335,nd,nd,nd,nd,0.0260,4.3502,nd,nd,nd,nd,nd,87.1297,0.0309,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,,,
224,SEALIP/TH/BC/11,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,nd,nd,16.8000,nd,nd,nd,nd,nd,nd,nd,nd,0.1600,nd,0.1385,nd,nd,nd,82.7071,nd,nd,0.0500,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
225,SEALIP/TH/BC/12,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,nd,nd,0.6800,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0858,nd,nd,nd,99.2042,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
226,SEALIP/TH/BC/13,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,nd,nd,0.1900,nd,nd,0.0700,nd,nd,nd,nd,nd,1.3000,nd,0.1664,nd,nd,nd,98.1656,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
227,SEALIP/TH/BC/14,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,nd,nd,1.4100,nd,nd,0.0500,nd,nd,nd,nd,nd,3.4000,nd,0.2180,nd,nd,nd,94.7831,nd,nd,0.0600,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
228,SEALIP/TH/BC/15,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base wire,nd,0.2878,78.8214,nd,nd,0.1071,nd,nd,nd,nd,0.0762,0.2469,nd,0.5565,nd,nd,0.5727,17.3129,0.1018,nd,1.9922,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Corrosion,
229,SEALIP/TH/BC/16,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base knob-shaped fragment. possibly bowl base,nd,0.0200,19.7550,nd,nd,0.1765,nd,nd,nd,nd,0.0336,4.0783,nd,nd,nd,nd,nd,75.9418,0.0198,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal,
230,SEALIP/TH/BC/17,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base unknown flat fragment,nd,0.0083,1.5974,nd,nd,0.0026,nd,nd,nd,nd,nd,4.2579,nd,nd,nd,nd,nd,94.0403,0.0320,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,Mannheim EDXRF,Metal and corrosion,
231,SEALIP/TH/BC/18,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,flat,nd,0.0593,8.5320,nd,nd,nd,nd,nd,nd,nd,0.0107,0.9723,nd,0.1227,nd,nd,nd,89.1267,0.0250,nd,0.0827,nd,nd,nd,0.0257,nd,nd,nd,nd,0.9967,nd,pXRF,,
232,SEALIP/TH/BC/19,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,nd,3.6417,nd,nd,nd,nd,nd,nd,nd,nd,0.1667,nd,0.0347,nd,nd,nd,95.6567,nd,nd,0.0220,nd,nd,nd,nd,nd,0.1903,nd,nd,0.2620,nd,pXRF,,
233,SEALIP/TH/BC/20,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,13.5330,nd,nd,nd,nd,nd,nd,0.0157,nd,12.4447,nd,nd,nd,nd,nd,71.8527,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.7940,nd,pXRF,,
234,SEALIP/TH/BC/21,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wire/rod,nd,nd,26.1127,nd,nd,nd,nd,0.0327,0.0247,0.0190,nd,0.0123,nd,0.1273,nd,nd,nd,72.8870,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1553,0.6107,nd,pXRF,,
235,SEALIP/TH/BC/22,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,adze,nd,nd,12.5657,nd,nd,nd,nd,0.0740,0.0780,0.0550,nd,0.0173,nd,0.0830,nd,nd,nd,84.2277,nd,0.3437,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.4647,nd,pXRF,,
236,SEALIP/TH/BC/23,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,7.8483,nd,nd,nd,nd,nd,nd,nd,0.0243,0.0387,nd,0.0980,nd,nd,nd,88.9553,nd,nd,0.0627,nd,nd,nd,0.1587,0.2760,0.2373,nd,nd,1.8770,nd,pXRF,,
237,SEALIP/TH/BC/24,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0040,8.5547,nd,nd,nd,nd,nd,nd,nd,0.0337,0.0343,nd,0.0870,nd,nd,nd,91.2083,nd,nd,0.0177,nd,nd,nd,0.0183,nd,nd,nd,nd,nd,nd,pXRF,,
238,SEALIP/TH/BC/25,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0430,24.4290,0.0480,nd,nd,nd,nd,nd,nd,nd,0.0330,nd,0.1307,nd,nd,nd,71.9033,nd,nd,0.0963,nd,nd,nd,nd,0.2383,nd,nd,0.7160,2.1240,nd,pXRF,,
239,SEALIP/TH/BC/26,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.1560,27.1350,nd,nd,nd,nd,nd,nd,nd,nd,0.0400,nd,0.1270,nd,nd,nd,70.4997,0.0223,nd,0.1000,nd,nd,nd,0.0517,nd,0.5000,nd,0.0320,1.2323,nd,pXRF,,
240,SEALIP/TH/BC/27,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,12.8043,nd,nd,nd,nd,0.0187,0.0203,0.0223,nd,15.8953,nd,nd,nd,nd,nd,70.0927,nd,nd,nd,nd,nd,nd,nd,0.5010,nd,nd,nd,0.0000,nd,pXRF,,
241,SEALIP/TH/BC/28,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,nd,0.3527,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0167,0.0147,nd,nd,nd,99.2007,0.0213,nd,0.0030,nd,nd,nd,nd,nd,nd,nd,nd,0.3673,nd,pXRF,,
242,SEALIP/TH/BC/29,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wire/rod,nd,nd,27.9613,nd,nd,nd,nd,0.0133,0.0183,0.0257,nd,0.1037,nd,0.1450,nd,nd,nd,70.7047,nd,nd,0.1877,nd,nd,nd,nd,nd,nd,nd,0.1380,0.6957,nd,pXRF,,
243,SEALIP/TH/BC/30,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.1417,29.5077,0.0323,nd,nd,nd,nd,nd,nd,0.0080,0.0527,nd,0.1617,nd,nd,0.0123,66.7917,nd,nd,0.0537,nd,nd,nd,nd,nd,nd,nd,1.8207,1.4040,nd,pXRF,,
244,SEALIP/TH/BC/31,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,14.9577,0.0267,nd,nd,nd,nd,nd,nd,nd,1.3190,nd,0.0357,nd,nd,nd,74.5330,nd,nd,0.0703,nd,nd,nd,nd,1.7507,nd,nd,1.0343,6.2410,nd,pXRF,,
245,SEALIP/TH/BC/32,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,1.1377,nd,nd,nd,nd,0.1410,0.1000,nd,nd,0.6010,nd,0.0767,nd,nd,nd,97.8697,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0000,nd,pXRF,,
246,SEALIP/TH/BC/33,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.1507,15.7823,0.0310,nd,nd,nd,nd,nd,nd,nd,0.6050,nd,nd,0.0083,nd,nd,82.2690,nd,nd,0.0487,nd,0.0303,nd,0.2833,nd,nd,nd,nd,0.6983,nd,pXRF,,
247,SEALIP/TH/BC/34,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,7.9477,nd,nd,nd,nd,nd,nd,0.0043,nd,15.0540,nd,nd,nd,nd,nd,69.3093,nd,nd,0.0493,nd,nd,nd,nd,0.6743,nd,nd,0.3513,6.3990,nd,pXRF,,
248,SEALIP/TH/BC/35,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0840,11.0703,nd,nd,nd,nd,nd,nd,0.0073,nd,11.4707,nd,nd,nd,nd,nd,77.0670,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.2890,nd,pXRF,,
249,SEALIP/TH/BC/36,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,13.3787,nd,nd,nd,nd,nd,nd,0.0073,0.0150,5.2290,nd,nd,nd,nd,nd,81.2780,nd,nd,0.0397,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,pXRF,,
250,SEALIP/TH/BC/37,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.4827,10.7650,nd,nd,nd,nd,nd,nd,0.0083,0.0160,2.7330,nd,0.4483,nd,nd,nd,78.8237,nd,nd,0.0560,nd,nd,nd,0.1220,0.8333,nd,nd,0.1457,5.5473,nd,pXRF,,
251,SEALIP/TH/BC/38,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.1573,10.1600,nd,nd,nd,nd,nd,nd,0.0053,0.0273,8.9167,nd,nd,nd,nd,nd,79.9337,0.1340,0.0207,0.0200,nd,0.0130,nd,nd,nd,nd,nd,nd,0.5713,nd,pXRF,,
252,SEALIP/TH/BC/39,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,1.7257,15.3190,nd,nd,nd,nd,nd,nd,0.0010,0.0427,3.0923,nd,0.2127,nd,nd,nd,77.5377,nd,nd,0.1610,nd,nd,nd,0.1550,nd,nd,nd,nd,1.4843,nd,pXRF,,
253,SEALIP/TH/BC/40,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0387,4.4193,nd,nd,nd,nd,nd,nd,0.0180,nd,23.7770,nd,nd,nd,nd,nd,57.6327,nd,nd,0.0113,nd,nd,nd,0.3440,5.7293,nd,nd,nd,7.9453,nd,pXRF,,
254,SEALIP/TH/BC/41,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wire/rod,nd,1.6010,7.9833,nd,nd,0.2893,nd,nd,nd,0.0110,0.0180,2.3817,nd,0.3420,nd,nd,nd,70.7250,nd,nd,0.0863,nd,nd,nd,nd,nd,nd,nd,0.5460,15.5913,nd,pXRF,,
255,SEALIP/TH/BC/42,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.2887,8.8963,nd,nd,nd,nd,nd,nd,nd,0.0183,1.1140,nd,nd,0.0067,nd,nd,89.4817,nd,nd,nd,nd,nd,nd,0.0243,nd,nd,nd,nd,0.0833,nd,pXRF,,
256,SEALIP/TH/BC/43,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0447,11.2490,nd,nd,nd,nd,nd,nd,0.0063,nd,10.3147,nd,nd,nd,nd,nd,78.2013,nd,nd,0.0350,nd,0.0110,nd,0.1217,nd,nd,nd,nd,nd,nd,pXRF,,
257,SEALIP/TH/BC/44,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.1980,14.9353,nd,nd,nd,nd,nd,nd,0.0027,nd,0.8997,nd,0.5290,0.0233,nd,nd,74.0967,nd,nd,0.0783,nd,nd,nd,nd,nd,nd,nd,0.3933,8.7093,nd,pXRF,,
258,SEALIP/TH/BC/45,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.2790,15.9023,0.0130,nd,nd,nd,nd,nd,nd,nd,1.2377,nd,0.1777,0.0070,nd,nd,79.4020,nd,nd,0.0160,nd,nd,nd,0.0453,nd,nd,nd,0.4657,2.2247,nd,pXRF,,
259,SEALIP/TH/BC/46,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,12.5847,nd,nd,nd,nd,nd,nd,0.0070,0.0183,0.1470,nd,0.1177,nd,nd,nd,75.2170,nd,nd,0.5317,nd,nd,nd,0.1447,3.5827,nd,nd,0.1140,7.5140,nd,pXRF,,
260,SEALIP/TH/BC/47,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.0743,9.5577,nd,nd,nd,nd,nd,nd,0.0077,nd,12.2087,nd,nd,nd,nd,nd,75.7957,0.0140,nd,nd,nd,nd,nd,0.0697,nd,nd,nd,nd,2.2180,nd,pXRF,,
261,SEALIP/TH/BC/48,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.1227,6.7930,0.0407,nd,nd,nd,nd,nd,0.0257,nd,7.8830,nd,nd,nd,nd,nd,67.4057,0.0073,nd,0.2457,nd,0.0320,0.0807,0.6200,6.2193,nd,nd,0.0210,10.4550,nd,pXRF,,
262,SEALIP/TH/BC/49,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.1090,21.5617,nd,nd,nd,nd,nd,nd,nd,0.0053,1.0190,nd,0.0450,nd,nd,nd,76.6603,nd,nd,0.0210,nd,nd,nd,0.0443,nd,nd,nd,nd,0.4603,nd,pXRF,,
263,SEALIP/TH/BC/50,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.1940,11.3837,nd,nd,nd,nd,nd,nd,nd,nd,0.5343,nd,0.4797,nd,nd,nd,81.6847,nd,nd,0.3343,nd,nd,nd,nd,nd,nd,nd,0.2957,5.0667,nd,pXRF,,
264,SEALIP/TH/BC/51,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,blade ,nd,nd,12.0973,nd,nd,nd,nd,nd,nd,nd,nd,1.0857,nd,nd,nd,nd,nd,83.6837,nd,0.0057,nd,nd,nd,nd,nd,nd,nd,nd,nd,3.0900,nd,pXRF,,
265,SEALIP/TH/BC/52,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wier/rod,nd,0.0897,2.3207,0.0270,nd,0.2297,nd,nd,nd,0.0063,0.7237,0.0640,0.0253,3.5220,nd,nd,nd,91.8117,0.0350,nd,0.0240,nd,0.0423,0.0810,0.2340,nd,0.2450,nd,0.0167,0.4530,nd,pXRF,,
266,SEALIP/TH/BC/53,Iron Age,500 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,12.4543,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0920,nd,nd,nd,81.0493,nd,nd,0.1907,nd,nd,nd,nd,nd,0.3450,nd,0.1377,5.7213,nd,pXRF,,
267,SEALIP/TH/BC/54,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,8.6580,nd,nd,nd,nd,nd,nd,nd,nd,0.1430,nd,0.0450,nd,nd,nd,88.3010,nd,nd,0.0327,nd,nd,nd,0.0840,nd,1.0940,nd,0.0450,1.2510,nd,pXRF,,
268,SEALIP/TH/BC/55,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,12.0193,nd,nd,nd,nd,0.0807,0.0700,0.0540,nd,nd,nd,0.1277,nd,nd,nd,76.9773,2.3600,0.3213,nd,nd,0.1117,nd,nd,2.3000,0.2670,nd,0.1983,4.9817,nd,pXRF,,
269,SEALIP/TH/BC/56,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0517,8.4587,nd,nd,nd,nd,nd,nd,nd,0.0000,0.4390,nd,0.1317,nd,nd,nd,89.0623,nd,nd,0.0267,nd,nd,nd,0.0480,nd,nd,nd,0.3297,1.4217,nd,pXRF,,
270,SEALIP/TH/BC/57,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wire/rod,nd,0.0057,9.6760,nd,nd,nd,nd,nd,nd,nd,0.0980,0.0050,nd,0.3910,nd,nd,nd,86.7947,0.0290,nd,0.0400,nd,nd,nd,0.1053,nd,0.1610,nd,0.0250,2.6133,nd,pXRF,,
271,SEALIP/TH/BC/58,Early Bronze Age,1100-800 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,13.9303,0.0060,nd,nd,nd,nd,nd,0.0070,0.0900,0.0223,nd,0.1833,0.0077,nd,nd,75.9830,nd,nd,0.0447,nd,nd,nd,0.1590,3.3600,0.5117,nd,nd,5.6660,nd,pXRF,,
272,SEALIP/TH/BC/59,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,wire/rod,nd,nd,5.2783,nd,nd,nd,nd,nd,nd,0.0163,0.0117,nd,nd,0.1043,nd,nd,nd,60.6303,nd,nd,0.1290,nd,nd,nd,nd,7.4277,0.2100,nd,0.0630,26.1083,nd,pXRF,,
273,SEALIP/TH/BC/60,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,point,nd,0.7470,13.8457,nd,nd,nd,nd,nd,nd,nd,0.0247,nd,nd,0.1807,nd,nd,nd,83.3033,nd,nd,0.0450,nd,nd,nd,0.1370,0.0000,0.2177,nd,nd,1.4777,nd,pXRF,,
274,SEALIP/TH/BC/61,Bronze Age - Early Iron Age,1100-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,6.6387,nd,nd,nd,nd,0.0367,0.0393,0.0587,nd,19.9360,nd,nd,nd,nd,nd,47.4560,nd,0.2470,0.7443,nd,nd,nd,nd,5.0763,nd,nd,nd,19.7623,nd,pXRF,,
275,SEALIP/TH/BC/62,Bronze Age - Early Iron Age,1100-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,nd,11.3290,nd,nd,nd,nd,0.0400,0.0310,0.0377,nd,21.6993,nd,nd,nd,nd,nd,63.7903,nd,nd,0.0510,nd,nd,nd,nd,0.5980,nd,nd,nd,1.9757,nd,pXRF,,
276,SEALIP/TH/BC/63,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,bangle,nd,0.0087,11.7327,nd,nd,nd,nd,nd,nd,0.0070,0.5003,0.7733,nd,1.0190,nd,nd,nd,75.3773,nd,nd,0.0447,nd,nd,nd,nd,1.8413,nd,nd,nd,8.6733,nd,pXRF,,
277,SEALIP/TH/BC/64,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.4210,7.8147,nd,nd,nd,nd,nd,nd,0.0047,0.0050,1.2840,nd,0.0720,nd,nd,nd,75.4107,0.0950,0.0373,0.8503,nd,nd,nd,0.1390,2.6633,nd,nd,nd,11.1767,nd,pXRF,,
278,SEALIP/TH/BC/65,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,amorphous,nd,0.0617,13.6210,nd,nd,nd,nd,nd,nd,0.0107,nd,1.4707,nd,nd,nd,nd,nd,70.1700,nd,nd,0.1090,nd,nd,nd,0.1630,4.7937,nd,nd,nd,9.5870,nd,pXRF,,
